Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count pellet	Mutation names pellet	Mutated peptide count supernatant	Mutation names supernatant	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pellet	Peptides supernatant	Razor + unique peptides pellet	Razor + unique peptides supernatant	Unique peptides pellet	Unique peptides supernatant	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Q-value	Score	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L pellet	Ratio M/L supernatant	Ratio M/L normalized pellet	Ratio M/L normalized supernatant	Ratio M/L variability [%] pellet	Ratio M/L variability [%] supernatant	Ratio M/L count pellet	Ratio M/L count supernatant	Ratio M/L iso-count pellet	Ratio M/L iso-count supernatant	Ratio M/L type pellet	Ratio M/L type supernatant	Ratio H/L pellet	Ratio H/L supernatant	Ratio H/L normalized pellet	Ratio H/L normalized supernatant	Ratio H/L variability [%] pellet	Ratio H/L variability [%] supernatant	Ratio H/L count pellet	Ratio H/L count supernatant	Ratio H/L iso-count pellet	Ratio H/L iso-count supernatant	Ratio H/L type pellet	Ratio H/L type supernatant	Ratio H/M pellet	Ratio H/M supernatant	Ratio H/M normalized pellet	Ratio H/M normalized supernatant	Ratio H/M variability [%] pellet	Ratio H/M variability [%] supernatant	Ratio H/M count pellet	Ratio H/M count supernatant	Ratio H/M iso-count pellet	Ratio H/M iso-count supernatant	Ratio H/M type pellet	Ratio H/M type supernatant	Sequence coverage pellet [%]	Sequence coverage supernatant [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity pellet	Intensity L pellet	Intensity M pellet	Intensity H pellet	Intensity supernatant	Intensity L supernatant	Intensity M supernatant	Intensity H supernatant	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Skud_5.13_NA;Skud_4.80_YDL178W	Skud_5.13_NA	8;1	8;1	8;1	0		0		0		Skud_5.13_NA	2	8	8	8	0	8	0	8	0	8	20.2	20.2	20.2	55.27	496	496;531	6						11					0	65.893	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	20.2	42406000	23179000	18288000	939070	0	0	0	0	42406000	23179000	18288000	939070				808	829;1927;1973;1975;2795;2836;3088;5402	True;True;True;True;True;True;True;True	875;2020;2068;2070;2916;2960;3219;5704	2298;5125;5288;5290;5291;7574;7690;7691;7692;8450;15002	3735;8163;8455;8457;8458;11928;12057;12058;12059;12951;12952;12953;12954;23189;23190	3735;8163;8455;8458;11928;12059;12954;23189			-1;-1
Skud_5.130_YER025W	Skud_5.130_YER025W	7	7	7	0		0		0		Skud_5.130_YER025W	1	7	7	7	1	7	1	7	1	7	14.2	14.2	14.2	60.473	548	548	5.1					9	1					0	51.15	0.87948	0.98462	16.651	3	0	Plateau	0.71472	0.95789	14.448	3	0	Plateau	0.91982	1.015	4.7297	3	0	Median	NaN	0.87948	NaN	0.96679	NaN	10.128	1	2	0	0	Median	Median	NaN	0.7817	NaN	0.95789	NaN	11.694	1	2	0	0	Median	Median	NaN	0.90182	NaN	0.98812	NaN	3.8003	1	2	0	0	Median	Median	1.6	14.2	152790000	84612000	42640000	25536000	1949000	813660	587840	547540	150840000	83799000	42052000	24989000				809	261;2016;2250;3188;3466;3641;5551	True;True;True;True;True;True;True	277;2112;2358;3324;3616;3798;5857	778;779;5396;6121;6122;6123;8700;9384;9876;15454	1300;1301;1302;1303;8604;9696;9697;9698;9699;13320;14366;15219;24048;24049;24050	1303;8604;9698;13320;14366;15219;24049			-1
Skud_5.140_NA;Skud_7.58_YER031C	Skud_5.140_NA;Skud_7.58_YER031C	4;3	4;3	4;3	0		0		0		Skud_5.140_NA;Skud_7.58_YER031C	2	4	4	4	3	4	3	4	3	4	14.8	14.8	14.8	24.473	223	223;222	8								8			0	25.189	1.1206	1.2436	7.3995	6	0	Leave out requantified	0.94702	1.1573	7.6976	6	0	Leave out requantified	0.83967	0.93397	2.6993	6	0	Leave out requantified	0.9256	1.2614	1.02	1.4023	13.272	4.5868	3	3	0	0	Leave out requantified	Leave out requantified	0.80521	1.107	0.97999	1.3667	8.51	6.9462	3	3	0	0	Leave out requantified	Leave out requantified	0.86198	0.84115	0.93806	0.93202	2.4651	4.6348	3	3	0	0	Leave out requantified	Leave out requantified	11.2	14.8	68212000	22361000	25374000	20477000	22920000	8941400	7476400	6502000	45292000	13420000	17897000	13975000				810	266;4446;4893;5236	True;True;True;True	282;4687;5166;5530	787;788;12048;12049;13506;13507;14528;14529	1314;1315;1316;1317;1318;1319;18413;18414;18415;18416;20695;20696;20697;20698;22346;22347	1319;18415;20698;22347			-1;-1
Skud_5.145_YER036C	Skud_5.145_YER036C	14	14	14	0		0		0		Skud_5.145_YER036C	1	14	14	14	1	14	1	14	1	14	22.1	22.1	22.1	68.333	610	610	5					24						0	176.01	0.83391	0.94329	12.892	3	0	Leave out requantified	0.24653	0.32062	138	3	0	Leave out requantified	0.35818	0.40524	125.94	3	0	Leave out requantified	NaN	0.75673	NaN	0.85596	NaN	13.739	1	2	0	0	Median	Median	NaN	0.24459	NaN	0.31807	NaN	1.1267	1	2	0	0	Median	Median	NaN	0.32271	NaN	0.36513	NaN	14.738	1	2	0	0	Median	Median	1.1	22.1	160350000	98098000	53170000	9084600	2618400	584720	494270	1539500	157730000	97513000	52676000	7545100				811	671;2299;2355;2546;2861;3470;3572;3723;4324;4403;4503;5745;6006;6118	True;True;True;True;True;True;True;True;True;True;True;True;True;True	712;2409;2465;2662;2663;2986;3620;3725;3887;4557;4642;4748;4749;6059;6336;6451	1960;6258;6396;6951;6952;7760;7761;7762;9391;9664;9665;9666;10067;11744;11933;11934;12230;12231;15936;16709;16710;16711;17065;17066	3178;3179;3180;3181;9920;10135;11018;11019;11020;11021;11022;12138;12139;12140;12141;14375;14824;14825;14826;14827;15576;17998;18253;18254;18659;18660;24803;26107;26108;26109;26655;26656	3181;9920;10135;11019;12140;14375;14827;15576;17998;18254;18660;24803;26107;26655	366;367;368	194;323;441	-1
Skud_5.147_YER038C	Skud_5.147_YER038C	1	1	1	0		0		0		Skud_5.147_YER038C	1	1	1	1	0	1	0	1	0	1	2.8	2.8	2.8	53.793	465	465	6						1					1	-2	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	0	2.8	61025000	61025000	0	0	0	0	0	0	61025000	61025000	0	0	+			812	3977	True	4192	10803	16589	16589	369;370	415;416	-1
Skud_5.152_YER043C	Skud_5.152_YER043C	27	27	27	0		0		0		Skud_5.152_YER043C	1	27	27	27	2	27	2	27	2	27	55.2	55.2	55.2	49.199	449	449	6.22					7	71	6	5	1	2	0	323.31	0.97953	1.0559	5.6243	18	0	Leave out requantified	0.9007	1.0689	94.829	18	0	Leave out requantified	0.93929	1.0334	106.92	18	0	Leave out requantified	NaN	0.97953	NaN	1.0559	NaN	5.2643	1	17	0	0	Median	Leave out requantified	NaN	0.89361	NaN	1.0689	NaN	94.751	1	17	0	0	Median	Leave out requantified	NaN	0.93422	NaN	1.0334	NaN	106.87	1	17	0	0	Median	Leave out requantified	4	55.2	6917400000	3528500000	2934300000	454550000	12848000	3258800	4971300	4617900	6904600000	3525300000	2929400000	449930000				813	520;609;610;1026;1125;1319;1320;1455;1494;1668;2251;2274;2493;2885;3306;3410;4293;4295;4413;4438;4655;5139;5516;5786;5825;5857;6175	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	551;552;644;645;1083;1184;1185;1387;1388;1529;1570;1751;2359;2382;2607;3012;3446;3555;4525;4526;4528;4652;4679;4905;5426;5822;6100;6101;6143;6175;6509	1515;1516;1517;1518;1519;1520;1521;1778;1779;1780;1781;1782;2854;2855;2856;3038;3039;3040;3475;3476;3477;3478;3479;3480;3481;3482;3874;3966;3967;3968;3969;3970;4420;4421;6124;6125;6126;6127;6128;6129;6130;6131;6187;6188;6189;6190;6843;6844;7843;7844;8993;8994;8995;8996;8997;9248;11665;11666;11667;11668;11669;11672;11673;11674;11675;11953;11954;12032;12033;12786;12787;12788;14206;14207;14208;14209;15340;15341;15342;15343;15344;15345;15346;16036;16037;16157;16158;16159;16160;16259;17195;17196	2459;2460;2461;2462;2463;2464;2465;2466;2886;2887;2888;2889;2890;4601;4602;4603;4925;4926;4927;4928;4929;5578;5579;5580;5581;5582;5583;5584;5585;5586;6168;6169;6170;6171;6319;6320;6321;6322;6323;7021;7022;7023;7024;9700;9701;9702;9703;9704;9705;9706;9707;9708;9709;9710;9711;9712;9713;9714;9715;9716;9717;9718;9719;9720;9721;9722;9723;9724;9725;9806;9807;9808;9809;9810;9811;9812;9813;9814;9815;10871;10872;12230;12231;12232;13784;13785;13786;13787;13788;14148;17879;17880;17881;17882;17883;17886;17887;17888;17889;17890;18283;18284;18390;18391;19605;19606;19607;19608;21838;21839;21840;21841;21842;23872;23873;23874;23875;23876;23877;23878;23879;23880;23881;23882;24992;24993;24994;25209;25210;25211;25212;25341;25342;26883;26884	2463;2887;2889;4601;4926;5578;5586;6170;6321;7021;9709;9810;10872;12232;13785;14148;17882;17889;18284;18391;19606;21838;23875;24993;25211;25342;26884	371;372;373;374;375	30;34;213;257;265	-1
Skud_5.153_YER044C	Skud_5.153_YER044C	2	2	2	0		0		0		Skud_5.153_YER044C	1	2	2	2	2	0	2	0	2	0	12.8	12.8	12.8	17.11	148	148	10										5	0.0013831	12.911	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	12.8	0	57770000	26368000	31403000	0	57770000	26368000	31403000	0	0	0	0	0				814	525;2916	True;True	557;3045	1530;7920;7921;7922;7923	2479;12333;12334;12335;12336	2479;12334			-1
Skud_5.158_YER048C	Skud_5.158_YER048C	5	5	5	0		0		0		Skud_5.158_YER048C	1	5	5	5	0	5	0	5	0	5	11.5	11.5	11.5	44.853	391	391	6						5					0	31.024	0.9763	1.0667	20.69	2	0	Median	0.93785	1.1137	52.622	2	0	Median	1.0475	1.1467	27.879	2	0	Median	NaN	0.9763	NaN	1.0667	NaN	20.69	0	2	0	0	Median	Median	NaN	0.93785	NaN	1.1137	NaN	52.622	0	2	0	0	Median	Median	NaN	1.0475	NaN	1.1467	NaN	27.879	0	2	0	0	Median	Median	0	11.5	41401000	17454000	14607000	9340300	0	0	0	0	41401000	17454000	14607000	9340300				815	275;382;401;4366;4764	True;True;True;True;True	292;404;427;4600;5030	814;1106;1169;11821;13095	1373;1797;1892;18112;18113;18114;20057;20058;20059	1373;1797;1892;18112;20058			-1
Skud_5.160_YER048W-A	Skud_5.160_YER048W-A	2	2	2	0		0		0		Skud_5.160_YER048W-A	1	2	2	2	1	2	1	2	1	2	19.1	19.1	19.1	11.263	94	94	10										3	0.0014045	13.166	0.64766	0.70737	15.24	3	0	Median	0.44249	0.52641	15.792	3	0	Median	0.7657	0.80132	4.7104	3	0	Median	NaN	0.58792	NaN	0.63006	NaN	16.368	1	2	0	0	Median	Median	NaN	0.42413	NaN	0.48814	NaN	10.674	1	2	0	0	Median	Median	NaN	0.72012	NaN	0.7694	NaN	5.7486	1	2	0	0	Median	Median	9.6	19.1	36147000	16726000	11088000	8333400	11830000	4759000	3907400	3163400	24318000	11967000	7180800	5170000				816	3684;4144	True;True	3843;4374	9978;9979;11314	15392;15393;15394;15395;15396;15397;15398;17364	15397;17364			-1
Skud_5.164_YER052C	Skud_5.164_YER052C	13	13	13	0		0		0		Skud_5.164_YER052C	1	13	13	13	0	13	0	13	0	13	23.7	23.7	23.7	58.053	527	527	5.95					1	21					0	100.29	0.7648	0.85707	31.963	4	0	Leave out requantified	0.69413	0.8947	19.985	4	0	Leave out requantified	0.85699	0.98101	15.63	4	0	Leave out requantified	NaN	0.7648	NaN	0.85707	NaN	31.963	0	4	0	0	Median	Leave out requantified	NaN	0.69413	NaN	0.8947	NaN	19.985	0	4	0	0	Median	Leave out requantified	NaN	0.85699	NaN	0.98101	NaN	15.63	0	4	0	0	Median	Leave out requantified	0	23.7	171500000	88961000	62138000	20397000	0	0	0	0	171500000	88961000	62138000	20397000				817	350;1361;1508;2507;2892;3060;3544;3623;3846;4305;5358;5410;5737	True;True;True;True;True;True;True;True;True;True;True;True;True	368;1430;1586;2621;3019;3191;3697;3780;4052;4538;5657;5712;5713;6051	1011;3610;3611;3992;6870;6871;7860;7861;8378;8379;9571;9572;9843;10433;10434;10435;11706;14891;14892;15022;15023;15926	1644;1645;5764;5765;6358;10906;10907;12250;12251;12851;12852;12853;12854;12855;14667;14668;15179;16102;16103;16104;17950;22976;22977;22978;22979;22980;22981;22982;23228;23229;24790	1645;5764;6358;10907;12250;12852;14668;15179;16102;17950;22978;23229;24790	376	143	-1
Skud_5.168_YER055C	Skud_5.168_YER055C	8	8	8	0		0		0		Skud_5.168_YER055C	1	8	8	8	0	8	0	8	0	8	26.6	26.6	26.6	32.237	297	297	7.17							10	2			0	50.364	0.64486	0.68849	13.941	2	0	Median	0.59657	0.68883	2.0942	2	0	Median	1.0533	1.1562	28.313	2	0	Median	NaN	0.64486	NaN	0.68849	NaN	13.941	0	2	0	0	Median	Median	NaN	0.59657	NaN	0.68883	NaN	2.0942	0	2	0	0	Median	Median	NaN	1.0533	NaN	1.1562	NaN	28.313	0	2	0	0	Median	Median	0	26.6	117940000	73693000	24161000	20082000	0	0	0	0	117940000	73693000	24161000	20082000				818	627;2078;2911;3482;3720;4024;4291;5197	True;True;True;True;True;True;True;True	662;2176;3040;3632;3884;4245;4523;5489	1819;5555;5556;5557;5558;7906;9423;10062;10063;10944;11662;14409	2947;2948;2949;8859;8860;8861;8862;12315;14418;15570;15571;16765;17876;22154;22155;22156;22157	2949;8862;12315;14418;15571;16765;17876;22157			-1
Skud_9.117_YER056C-A;Skud_5.170_NA	Skud_9.117_YER056C-A;Skud_5.170_NA	4;4	4;4	4;4	0		0		0		Skud_9.117_YER056C-A;Skud_5.170_NA	2	4	4	4	3	4	3	4	3	4	26.4	26.4	26.4	13.625	121	121;121	9.06							1	1	10	4	0	28.257	0.78394	0.82588	3.8242	9	0	Leave out requantified	0.70914	0.78885	0.64229	9	0	Leave out requantified	0.89967	0.93775	0.13644	9	0	Leave out requantified	0.79753	0.78876	0.84852	0.83353	2.3021	5.42	3	6	0	0	Plateau	Leave out requantified	0.7104	0.70975	0.78527	0.80564	3.0021	0.26083	3	6	0	0	Median	Leave out requantified	0.89259	0.91626	0.92258	0.96078	2.1198	0.14477	3	6	0	0	Median	Leave out requantified	18.2	26.4	1130900000	484740000	445060000	201060000	144280000	63577000	48462000	32240000	986580000	421160000	396600000	168820000				819	140;4349;5310;5986	True;True;True;True	148;4583;5606;6313	421;422;423;424;425;11788;11789;11790;14762;14763;14764;14765;14766;14767;16660;16661	646;647;648;649;650;651;652;18058;18059;18060;18061;22717;22718;22719;22720;22721;22722;22723;22724;22725;22726;22727;22728;22729;22730;25996;25997	649;18059;22724;25996			-1;-1
Skud_5.171_NA	Skud_5.171_NA	4	3	3	0		0		0		Skud_5.171_NA	1	4	3	3	1	4	0	3	0	3	30.2	23.3	23.3	13.965	129	129	9.67									2	4	0	59.831	1.0019	1.0752	1.8749	2	0	Median	0.78222	0.89598	1.5853	2	0	Median	0.77576	0.8288	0.39694	2	0	Median	NaN	1.0019	NaN	1.0752	NaN	1.8749	0	2	0	0	Median	Median	NaN	0.78222	NaN	0.89598	NaN	1.5853	0	2	0	0	Median	Median	NaN	0.77576	NaN	0.8288	NaN	0.39694	0	2	0	0	Median	Median	7	30.2	221300000	83233000	99272000	38797000	0	0	0	0	221300000	83233000	99272000	38797000				820	117;3632;4102;6101	True;True;True;False	125;3789;4330;6434	372;373;9859;9860;11184;11185;17005;17006;17007;17008	552;553;554;15201;15202;17155;17156;17157;17158;17159;17160;17161;17162;17163;26576;26577;26578;26579	553;15201;17163;26577			-1
Skud_5.177_NA	Skud_5.177_NA	8	3	3	0		0		0		Skud_5.177_NA	1	8	3	3	0	8	0	3	0	3	36.8	16	16	27.775	250	250	7.62							3	5			0	20.273	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	0	36.8	118180000	50011000	68169000	0	0	0	0	0	118180000	50011000	68169000	0				821	1430;1670;1857;3093;4198;6011;6026;6103	True;False;True;False;False;False;False;True	1502;1753;1943;3225;4429;6341;6357;6436	3817;4424;4929;4930;4931;4932;8467;11421;16722;16723;16751;16752;16753;17015;17016;17017	6096;7027;7817;7818;7819;7820;7821;7822;12972;17518;26127;26128;26129;26130;26191;26192;26193;26596;26597;26598	6096;7027;7820;12972;17518;26127;26192;26598			-1
Skud_5.178_YER063W	Skud_5.178_YER063W	1	1	1	0		0		0		Skud_5.178_YER063W	1	1	1	1	0	1	0	1	0	1	4.6	4.6	4.6	24.471	217	217	7							3				0.0034682	10.128	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	0	4.6	13319000	7014800	6304600	0	0	0	0	0	13319000	7014800	6304600	0				822	3023	True	3154	8277;8278;8279	12728;12729;12730;12731	12731			-1
Skud_5.186_YER069W	Skud_5.186_YER069W	14	14	14	0		0		0		Skud_5.186_YER069W	1	14	14	14	1	14	1	14	1	14	17.1	17.1	17.1	95.247	863	863	6.53						9	10				0	101.71	0.94568	1.0121	22.441	9	0	Leave out requantified	0.69443	0.8792	22.736	9	0	Leave out requantified	0.8424	0.94092	14.33	9	0	Leave out requantified	NaN	0.94568	NaN	1.0121	NaN	21.324	1	8	0	0	Median	Leave out requantified	NaN	0.69443	NaN	0.8792	NaN	21.817	1	8	0	0	Median	Leave out requantified	NaN	0.8424	NaN	0.94092	NaN	14.014	1	8	0	0	Median	Leave out requantified	1	17.1	181010000	67237000	75008000	38760000	12333000	3856200	4479400	3997300	168670000	63381000	70529000	34762000				823	753;1200;1215;1332;1980;2074;2444;2655;2728;3646;3677;4907;4917;5488	True;True;True;True;True;True;True;True;True;True;True;True;True;True	796;1262;1277;1401;2075;2172;2556;2774;2849;3803;3836;5181;5191;5793	2141;2142;3232;3257;3521;5312;5546;6695;6696;6697;7189;7190;7382;9884;9963;13555;13556;13576;15241	3497;3498;5210;5211;5249;5250;5251;5652;5653;5654;8488;8848;10670;10671;10672;10673;10674;10675;11397;11398;11690;15232;15370;15371;15372;20783;20784;20785;20786;20813;23689;23690;23691	3498;5211;5249;5654;8488;8848;10674;11398;11690;15232;15371;20784;20813;23689	377	347	-1
Skud_5.187_NA;Skud_9.106_YER070W	Skud_5.187_NA	4;1	4;1	4;1	0		0		0		Skud_5.187_NA	2	4	4	4	0	4	0	4	0	4	3.5	3.5	3.5	99.328	886	886;866	4				4							0	23.12	0.81194	0.88153	26.712	4	0	Leave out requantified	0.92993	1.2243	61.875	4	0	Leave out requantified	1.1042	1.3079	55.389	4	0	Leave out requantified	NaN	0.81194	NaN	0.88153	NaN	26.712	0	4	0	0	Median	Leave out requantified	NaN	0.92993	NaN	1.2243	NaN	61.875	0	4	0	0	Median	Leave out requantified	NaN	1.1042	NaN	1.3079	NaN	55.389	0	4	0	0	Median	Leave out requantified	0	3.5	30235000	10224000	7747700	12263000	0	0	0	0	30235000	10224000	7747700	12263000				824	3438;5487;5594;5964	True;True;True;True	3587;5792;5904;6288	9304;15240;15575;16586	14246;14247;23688;24244;24245;24246;25877;25878;25879;25880	14246;23688;24246;25879			-1;-1
Skud_5.189_YER072W	Skud_5.189_YER072W	2	2	2	0		0		0		Skud_5.189_YER072W	1	2	2	2	2	0	2	0	2	0	11.6	11.6	11.6	14.394	129	129	10										3	0.0013495	12.597	0.76147	0.79623	2.2486	3	0	Plateau	0.48961	0.53222	13.753	3	0	Median	0.77639	0.8115	11.484	3	0	Median	0.76147	NaN	0.79623	NaN	2.2486	NaN	3	0	0	0	Plateau	Median	0.48961	NaN	0.53222	NaN	13.753	NaN	3	0	0	0	Median	Median	0.77639	NaN	0.8115	NaN	11.484	NaN	3	0	0	0	Median	Median	11.6	0	45650000	19615000	15420000	10615000	45650000	19615000	15420000	10615000	0	0	0	0				825	4830;5588	True;True	5100;5101;5898	13332;13333;15561	20434;20435;20436;24214;24215	20436;24214			-1
Skud_5.190_YER073W	Skud_5.190_YER073W	8	6	6	0		0		0		Skud_5.190_YER073W	1	8	6	6	1	8	1	6	1	6	13.7	11.9	11.9	56.577	520	520	6						10					0	36.605	0.88652	0.90035	6.8186	3	0	Median	0.65626	0.7317	13.969	3	0	Median	0.79547	0.91133	5.0854	3	0	Plateau	NaN	0.82996	NaN	0.92666	NaN	9.3518	1	2	0	0	Median	Median	NaN	0.64	NaN	0.82472	NaN	16.923	1	2	0	0	Median	Median	NaN	0.78677	NaN	0.90079	NaN	1.6444	1	2	0	0	Median	Median	1.3	13.7	57113000	28475000	19021000	9617200	8311800	3364700	2679100	2268000	48801000	25110000	16341000	7349300				826	222;378;2985;3504;3681;4785;5094;5929	True;True;False;True;True;True;True;False	236;399;3115;3655;3840;5052;5378;6250	662;1095;1096;8114;9483;9484;9972;9973;13138;14072;14073;16443	1110;1111;1779;1780;12544;14508;14509;15383;15384;15385;15386;20119;21611;21612;25669	1110;1779;12544;14509;15384;20119;21612;25669			-1
Skud_5.191_NA	Skud_5.191_NA	13	13	2	0		0		0		Skud_5.191_NA	1	13	13	2	11	12	11	12	2	2	64.4	64.4	7.4	15.387	135	135	9.62							1		25	47	0	279.08	0.90684	0.94076	9.4726	15	0	Leave out requantified	0.74228	0.87993	144.44	15	0	Leave out requantified	0.84679	0.92296	141.15	15	0	Leave out requantified	0.81533	0.91453	0.85255	0.93563	6.9009	11.079	6	9	0	0	Leave out requantified	Leave out requantified	0.82009	0.74228	0.89147	0.87806	9.6654	143.71	6	9	0	0	Leave out requantified	Leave out requantified	0.92018	0.83302	0.96179	0.89631	6.2576	140.56	6	9	0	0	Leave out requantified	Leave out requantified	59.3	64.4	2794600000	1480700000	946380000	367540000	1082500000	574960000	359120000	148450000	1712100000	905710000	587260000	219090000				827	410;673;1165;1166;2386;2816;2921;2967;3036;4197;4435;4942;5692	True;True;True;True;True;True;True;True;True;True;True;True;True	436;714;1227;1228;2496;2939;3050;3097;3167;4428;4675;4676;5219;6005	1182;1183;1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1968;1969;1970;3148;3149;3150;3151;3152;3153;3154;3155;6507;6508;7629;7630;7631;7632;7633;7634;7635;7636;7637;7638;7639;7932;7933;7934;7935;7936;7937;8058;8059;8060;8061;8311;8312;8313;8314;8315;8316;8317;8318;11420;12011;12012;12013;12014;12015;12016;13646;13647;13648;13649;13650;13651;13652;13653;15812;15813;15814;15815	1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;3191;3192;3193;3194;3195;3196;3197;3198;3199;5101;5102;5103;5104;5105;5106;5107;5108;10328;10329;11987;11988;11989;11990;11991;11992;11993;11994;11995;11996;11997;11998;12345;12346;12347;12348;12349;12350;12351;12352;12353;12486;12487;12488;12489;12768;12769;12770;12771;12772;12773;12774;12775;12776;12777;17514;17515;17516;17517;18357;18358;18359;18360;18361;18362;18363;18364;18365;18366;18367;18368;18369;18370;18371;18372;18373;20917;20918;20919;20920;20921;20922;20923;20924;24602;24603;24604;24605;24606;24607;24608;24609;24610;24611;24612;24613;24614;24615;24616;24617;24618;24619;24620;24621;24622;24623;24624;24625;24626;24627	1915;3194;5101;5104;10329;11997;12346;12487;12774;17516;18360;20924;24624			-1
Skud_5.200_NA	Skud_5.200_NA	9	9	5	0		0		0		Skud_5.200_NA	1	9	9	5	0	9	0	9	0	5	23.7	23.7	13.4	51.073	469	469	6						14					0	61.246	0.72165	0.7802	19.283	2	0	Median	0.65071	0.77126	16.85	2	0	Median	0.90109	0.98841	4.2643	2	0	Median	NaN	0.72165	NaN	0.7802	NaN	19.283	0	2	0	0	Median	Median	NaN	0.65071	NaN	0.77126	NaN	16.85	0	2	0	0	Median	Median	NaN	0.90109	NaN	0.98841	NaN	4.2643	0	2	0	0	Median	Median	0	23.7	81516000	46805000	21413000	13298000	0	0	0	0	81516000	46805000	21413000	13298000				828	719;1784;2282;2477;2512;4718;4922;5442;5789	True;True;True;True;True;True;True;True;True	761;1869;2390;2590;2626;4974;5196;5746;6105	2056;4760;6204;6801;6884;12952;12953;12954;13582;15109;15110;15111;16048;16049	3356;3357;3358;3359;7541;9837;10818;10924;19830;19831;19832;19833;20820;23432;23433;23434;25008;25009;25010	3358;7541;9837;10818;10924;19833;20820;23434;25009			-1
Skud_5.205_YER086W	Skud_5.205_YER086W	2	2	2	0		0		0		Skud_5.205_YER086W	1	2	2	2	0	2	0	2	0	2	3	3	3	63.915	576	576	5.5					1	1					0.0036058	11.204	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	0	3	4193300	4193300	0	0	0	0	0	0	4193300	4193300	0	0				829	2122;3427	True;True	2224;3574	5677;9283	9043;14216	9043;14216			-1
